15:26:08.277 -> Humidity: 52.60 %, Temp: 21.80 Celsius
15:26:18.268 -> Humidity: 53.30 %, Temp: 21.80 Celsius
15:26:28.248 -> Humidity: 54.30 %, Temp: 21.90 Celsius
15:26:38.226 -> Humidity: 55.30 %, Temp: 22.00 Celsius
15:26:48.242 -> Humidity: 56.30 %, Temp: 22.20 Celsius
15:26:58.203 -> Humidity: 57.20 %, Temp: 22.30 Celsius
15:27:08.196 -> Humidity: 58.20 %, Temp: 22.60 Celsius
15:27:18.203 -> Humidity: 58.90 %, Temp: 22.90 Celsius
15:27:28.196 -> Humidity: 59.60 %, Temp: 23.20 Celsius
15:27:38.182 -> Humidity: 60.10 %, Temp: 23.50 Celsius
15:27:48.175 -> Humidity: 60.60 %, Temp: 23.90 Celsius
15:27:58.150 -> Humidity: 60.90 %, Temp: 24.20 Celsius
15:28:08.140 -> Humidity: 61.10 %, Temp: 24.60 Celsius
15:28:18.126 -> Humidity: 61.30 %, Temp: 25.00 Celsius
15:28:28.120 -> Humidity: 61.20 %, Temp: 25.30 Celsius
15:28:38.126 -> Humidity: 61.00 %, Temp: 25.70 Celsius
15:28:48.119 -> Humidity: 60.80 %, Temp: 26.10 Celsius
15:28:58.106 -> Humidity: 60.50 %, Temp: 26.50 Celsius
15:29:08.106 -> Humidity: 60.00 %, Temp: 26.90 Celsius
15:29:18.072 -> Humidity: 59.60 %, Temp: 27.30 Celsius
15:29:28.079 -> Humidity: 59.10 %, Temp: 27.70 Celsius
15:29:38.057 -> Humidity: 58.50 %, Temp: 28.00 Celsius
15:29:48.033 -> Humidity: 58.00 %, Temp: 28.40 Celsius
15:29:58.045 -> Humidity: 57.40 %, Temp: 28.80 Celsius
15:30:08.040 -> Humidity: 56.80 %, Temp: 29.10 Celsius
15:30:17.988 -> Humidity: 56.20 %, Temp: 29.50 Celsius
15:30:28.017 -> Humidity: 55.50 %, Temp: 29.80 Celsius
15:30:37.988 -> Humidity: 54.80 %, Temp: 30.10 Celsius
15:30:47.988 -> Humidity: 54.20 %, Temp: 30.40 Celsius
15:30:57.983 -> Humidity: 53.50 %, Temp: 30.70 Celsius
15:31:07.953 -> Humidity: 53.00 %, Temp: 31.10 Celsius
15:31:17.919 -> Humidity: 52.30 %, Temp: 31.30 Celsius
15:31:27.914 -> Humidity: 51.70 %, Temp: 31.60 Celsius
15:31:37.903 -> Humidity: 51.10 %, Temp: 31.90 Celsius
15:31:47.925 -> Humidity: 50.60 %, Temp: 32.20 Celsius
15:31:57.911 -> Humidity: 49.90 %, Temp: 32.40 Celsius
15:32:07.884 -> Humidity: 49.40 %, Temp: 32.70 Celsius
15:32:17.871 -> Humidity: 48.80 %, Temp: 32.90 Celsius
15:32:27.855 -> Humidity: 48.30 %, Temp: 33.20 Celsius
15:32:37.854 -> Humidity: 47.80 %, Temp: 33.40 Celsius
15:32:47.830 -> Humidity: 47.20 %, Temp: 33.60 Celsius
15:32:57.824 -> Humidity: 46.70 %, Temp: 33.80 Celsius
15:33:07.819 -> Humidity: 46.20 %, Temp: 34.00 Celsius
15:33:17.819 -> Humidity: 45.70 %, Temp: 34.20 Celsius
15:33:27.819 -> Humidity: 45.30 %, Temp: 34.40 Celsius
15:33:37.812 -> Humidity: 44.80 %, Temp: 34.60 Celsius
15:33:47.753 -> Humidity: 44.40 %, Temp: 34.70 Celsius
